priority,listing_url,listing_name,host_name,area,bedrooms,cleanliness_score,overall_rating,num_reviews,host_total_listings,last_review,suggested_angle,status,notes
HOT,https://www.airbnb.com/rooms/2533176,Central London 4 Bedroom Executive Apt Epic Views!,Nathan,Tower Hamlets,4,4.57,4.68,322,8,2026-05-27,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/32651609,3 Bed Flat - 1 Min Walk Underground,Matteo,Tower Hamlets,2,4.66,4.78,393,2,2026-06-11,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/44204525,Bright Studio near Liverpool Street Station,Milena,Tower Hamlets,1,4.37,4.33,819,6,2026-06-24,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/879561373777292825,Silver Studio near Aldgate with Gym Access,Ava And Team,Tower Hamlets,1,4.36,4.43,359,91,2026-06-05,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/1072220224875674415,Fully equipped Studio w/ Kitchen near Tower Hill,Bob W London Tower Hill - Residences,Tower Hamlets,,4.62,4.58,295,5,2026-06-13,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/521982,2 Bed apartment trendy shoreditch,Debbie,Tower Hamlets,2,4.15,4.38,264,6,2026-06-01,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/46633721,Studio 5b - 1st floor,Alex,Hackney,,4.44,4.63,261,12,2026-06-08,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/46633718,Studio 5a - 1st floor,Alex,Hackney,,4.65,4.71,251,12,2026-06-07,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/16540363,Stunning Shoreditch High Street Studio,June,Hackney,,4.69,4.62,234,24,2026-06-14,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/803796825751686255,Tower Bridge Cozy Studio,Sergio,Tower Hamlets,1,4.62,4.64,229,7,2026-06-14,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/9665686,"Studio Workshop ""Live-Work-Space""",Paul,Hackney,,4.57,4.61,228,4,2026-06-11,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/547697448493524821,Light and airy apartment with terrace,Giuls,Hackney,3,4.56,4.81,224,2,2026-06-11,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/653631630419541645,The Magnolia Sunshine | Roof Terrace | Creed Stay,Aneel,Tower Hamlets,2,4.69,4.73,217,11,2026-06-23,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/2008413,Furnished Victorian Terrace in Greenwich Near O2,Amina,Greenwich,3,4.4,4.55,204,9,2026-06-11,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/44204538,Silver Studio near Liverpool Street,Ava And Team,Tower Hamlets,1,4.36,4.36,203,91,2026-02-07,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/24671835,Two Bedroom Apt in the Heart of Shoreditch,Hayley,Tower Hamlets,2,4.42,4.51,202,20,2026-06-14,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/40797001,Stunning 1-Bed Apt with Balcony with great views,Dahlia,Tower Hamlets,1,4.49,4.51,199,2,2026-04-29,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/46633724,Studio 6a - 1st floor,Alex,Hackney,,4.54,4.62,197,12,2026-06-07,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/25898868,Private self-contained studio flat London Fields,Claire,Hackney,1,4.66,4.73,191,3,2026-06-24,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/11780466,Location! Location! Location! fantastic flat 2B,Eduardo,Tower Hamlets,2,4.59,4.6,188,4,2026-04-17,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/19353883,Stunning Shoreditch High Street Studio,June,Hackney,,4.7,4.45,187,24,2026-06-07,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/22008618,Two Bedroom Apt on Brick Lane in Shoreditch,June,Tower Hamlets,2,4.41,4.45,181,24,2026-05-28,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/21933316,2 Bedroom w Balcony in the Heart of Shoreditch,June,Tower Hamlets,2,4.52,4.47,178,24,2026-06-03,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/18473275,Two Bedroom Apt with Balcony in Shoreditch,June,Hackney,2,4.66,4.54,175,24,2026-06-14,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
HOT,https://www.airbnb.com/rooms/16328396,Fabulous Funkily Decorated Flat near Stratford Olympic Park,Carolyn,Waltham Forest,3,4.65,4.79,174,2,2026-05-01,HOT: guests mention cleanliness. Lead with photo-proof + first-clean guarantee.,,
